ClaimNumber,PolicyNumber,ClaimStatus,LossDate,ReportDate,CauseOfLoss,LossState,ClaimantCount,AdjusterID,LitigationFlag,FraudIndicator
KM-CLM-000001,KM-POL-000220,Reopened,2024-06-20,2024-07-04,Slip and Fall,PA,1,ADJ-A01,Y,N
KM-CLM-000002,KM-POL-001395,Reopened,2024-01-06,2024-02-03,Motor Vehicle,MD,2,ADJ-A03,N,N
KM-CLM-000003,KM-POL-000787,Open,2023-02-23,2023-04-08,Head On,MD,1,ADJ-A02,N,
KM-CLM-000004,KM-POL-001785,Open,2022-08-28,2022-09-07,Intersection,OH,2,ADJ-A04,Y,N
KM-CLM-000005,KM-POL-000528,Closed,2022-02-02,2022-02-08,Burn,MD,1,ADJ-A03,N,N
KM-CLM-000006,KM-POL-000075,Open,2023-05-12,2023-05-25,Single Vehicle,OH,1,ADJ-A03,N,N
KM-CLM-000007,KM-POL-001642,Closed,2023-09-03,2023-10-05,Advertising Injury,MD,2,ADJ-A05,N,N
KM-CLM-000008,KM-POL-000136,Closed,2023-05-07,2023-06-01,Burn,OH,1,ADJ-A05,N,N
KM-CLM-000009,KM-POL-001953,Closed,2024-06-05,2024-06-26,Single Vehicle,MD,1,ADJ-A03,N,
KM-CLM-000010,KM-POL-000074,Closed,2023-05-26,2023-06-30,Product Defect,OH,2,ADJ-A05,Y,
KM-CLM-000011,KM-POL-000254,Closed,2021-10-18,2021-11-26,Strain,OH,1,ADJ-A02,N,N
KM-CLM-000012,KM-POL-001042,Reopened,2023-09-25,2023-11-08,Rear End Collision,MD,2,ADJ-A02,N,N
KM-CLM-000013,KM-POL-001955,Open,2022-09-15,2022-10-28,Bodily Injury,PA,1,ADJ-A05,N,N
KM-CLM-000014,KM-POL-001022,Closed,2022-02-03,2022-03-20,Struck By,NJ,1,ADJ-A01,N,N
KM-CLM-000015,KM-POL-001067,Open,2022-09-20,2022-09-23,Fall,PA,1,ADJ-A03,N,N
KM-CLM-000016,KM-POL-000050,Open,2023-01-01,2023-01-11,Fall,PA,1,ADJ-A02,N,N
KM-CLM-000017,KM-POL-000515,Closed,2022-01-29,2022-02-22,Struck By,NY,1,ADJ-A05,N,N
KM-CLM-000018,KM-POL-000744,Open,2021-05-12,2021-06-21,Intersection,PA,1,ADJ-A05,Y,N
KM-CLM-000019,KM-POL-000731,Open,2022-09-24,2022-09-24,Burn,NY,1,ADJ-A02,N,N
KM-CLM-000020,KM-POL-000571,Open,2023-09-02,2023-09-07,Sideswipe,NJ,1,ADJ-A02,N,N
KM-CLM-000021,KM-POL-001820,Closed,2023-04-04,2023-04-13,Fall,NJ,1,ADJ-A01,N,N
KM-CLM-000022,KM-POL-001838,Closed,2021-05-04,2021-06-03,Struck By,PA,2,ADJ-A05,N,N
KM-CLM-000023,KM-POL-000576,Open,2022-05-09,2022-06-16,Property Damage,NY,1,ADJ-A05,N,N
KM-CLM-000024,KM-POL-001606,Closed,2022-03-15,2022-04-11,Rear End Collision,PA,1,ADJ-A04,N,N
KM-CLM-000025,KM-POL-001327,Open,2023-09-02,2023-09-07,Burn,OH,2,ADJ-A01,N,N
KM-CLM-000026,KM-POL-001166,Closed,2023-02-03,2023-02-07,Bodily Injury,NJ,1,ADJ-A02,Y,N
KM-CLM-000027,KM-POL-000903,Closed,2022-05-30,2022-06-15,Burn,PA,3,ADJ-A02,N,N
KM-CLM-000028,KM-POL-000202,Closed,2022-12-07,2022-12-21,Fall,PA,1,ADJ-A03,N,
KM-CLM-000029,KM-POL-000207,Reopened,2023-06-16,2023-07-09,Repetitive Motion,PA,1,ADJ-A02,N,N
KM-CLM-000030,KM-POL-000415,Reopened,2022-08-09,2022-08-14,Rear End Collision,DE,1,ADJ-A05,N,
KM-CLM-000031,KM-POL-000221,Open,2022-11-29,2023-01-06,Head On,NY,2,ADJ-A02,N,N
KM-CLM-000032,KM-POL-001386,Closed,2022-08-28,2022-08-30,Struck By,OH,1,ADJ-A05,N,N
KM-CLM-000033,KM-POL-000758,Open,2021-07-06,2021-07-30,Parking,OH,2,ADJ-A05,N,N
KM-CLM-000034,KM-POL-001105,Reopened,2022-07-11,2022-08-05,Product Defect,PA,1,ADJ-A01,N,N
KM-CLM-000035,KM-POL-000763,Open,2022-06-15,2022-07-24,Cut/Laceration,NY,1,ADJ-A02,N,N
KM-CLM-000036,KM-POL-000563,Closed,2023-09-16,2023-10-27,Motor Vehicle,PA,1,ADJ-A01,N,N
KM-CLM-000037,KM-POL-001309,Open,2024-04-28,2024-05-31,Repetitive Motion,NJ,1,ADJ-A05,N,N
KM-CLM-000038,KM-POL-000369,Open,2023-10-02,2023-10-20,Repetitive Motion,NJ,1,ADJ-A02,N,N
KM-CLM-000039,KM-POL-001516,Closed,2022-06-05,2022-07-20,Burn,MD,2,ADJ-A02,N,
KM-CLM-000040,KM-POL-001935,Reopened,2023-08-28,2023-10-05,Rear End Collision,NJ,1,ADJ-A01,N,
KM-CLM-000041,KM-POL-000896,Closed,2022-01-08,2022-01-11,Burn,OH,1,ADJ-A01,N,N
KM-CLM-000042,KM-POL-001370,Closed,2022-03-07,2022-03-18,Repetitive Motion,NY,1,ADJ-A05,N,
KM-CLM-000043,KM-POL-000204,Closed,2022-07-28,2022-09-06,Property Damage,PA,2,ADJ-A05,N,N
KM-CLM-000044,KM-POL-001049,Open,2022-12-07,2023-01-07,Slip and Fall,NJ,3,ADJ-A02,N,N
KM-CLM-000045,KM-POL-000957,Open,2022-02-12,2022-03-12,Head On,NY,2,ADJ-A02,N,N
KM-CLM-000046,KM-POL-001577,Open,2024-02-26,2024-02-26,Motor Vehicle,PA,3,ADJ-A04,N,
KM-CLM-000047,KM-POL-000069,Closed,2023-02-25,2023-03-09,Burn,PA,2,ADJ-A04,N,N
KM-CLM-000048,KM-POL-000516,Open,2023-09-10,2023-10-22,Cut/Laceration,MD,3,ADJ-A03,N,N
KM-CLM-000049,KM-POL-001516,Open,2022-12-26,2023-01-28,Strain,MD,1,ADJ-A05,N,N
KM-CLM-000050,KM-POL-000240,Open,2021-06-25,2021-07-13,Motor Vehicle,PA,1,ADJ-A03,N,N
KM-CLM-000051,KM-POL-000361,Open,2022-03-21,2022-04-02,Strain,PA,1,ADJ-A03,N,N
KM-CLM-000052,KM-POL-001465,Reopened,2024-07-21,2024-07-23,Property Damage,PA,1,ADJ-A01,N,N
KM-CLM-000053,KM-POL-001055,Open,2021-08-05,2021-09-12,Property Damage,NY,1,ADJ-A01,N,N
KM-CLM-000054,KM-POL-001923,Closed,2023-09-03,2023-10-05,Parking,NY,1,ADJ-A04,N,
KM-CLM-000055,KM-POL-001653,Closed,2024-02-06,2024-03-10,Cut/Laceration,OH,1,ADJ-A03,N,N
KM-CLM-000056,KM-POL-000707,Closed,2024-01-09,2024-02-22,Motor Vehicle,PA,2,ADJ-A04,N,N
KM-CLM-000057,KM-POL-001626,Open,2024-08-22,2024-09-05,Rear End Collision,PA,1,ADJ-A05,N,N
KM-CLM-000058,KM-POL-000690,Closed,2024-02-02,2024-03-12,Motor Vehicle,NJ,2,ADJ-A02,N,N
KM-CLM-000059,KM-POL-000657,Open,2022-10-22,2022-11-01,Motor Vehicle,OH,1,ADJ-A01,N,N
