PolicyNumber,LineOfBusiness,PolicyStatus,EffectiveDate,ExpirationDate,State,ClassCode,WrittenPremium,InsuredName,AgencyCode,UnderwriterID,RenewalCount
KM-POL-000001,WC,In Force,2021-08-17,2022-08-17,PA,5191,28650.11,Insured A-1,AG004,UW101,0
KM-POL-000002,GL,In Force,2021-02-21,2022-02-21,PA,58483,8260.41,Insured A-2,AG005,UW104,0
KM-POL-000003,CA,In Force,2022-07-18,2023-07-18,MD,7220,3415.56,Insured A-3,AG004,UW103,0
KM-POL-000004,CA,In Force,2022-05-17,2023-05-17,PA,7220,6461.02,Insured A-4,AG015,UW101,0
KM-POL-000005,WC,Expired,2022-04-03,2023-04-03,PA,5183,6854.96,Insured A-5,AG005,UW103,1
KM-POL-000006,WC,In Force,2021-10-13,2022-10-13,NY,8742,5677.8,Insured A-6,AG005,UW101,0
KM-POL-000007,WC,Expired,2021-07-29,2022-07-29,NJ,5183,3930.45,Insured A-7,AG003,UW104,1
KM-POL-000008,GL,Expired,2021-06-28,2022-06-28,NY,97047,1946.37,Insured A-8,AG012,UW104,3
KM-POL-000009,CA,In Force,2023-05-15,2024-05-14,PA,7210,3889.54,Insured A-9,AG001,UW104,1
KM-POL-000010,CA,In Force,2021-03-07,2022-03-07,NJ,7210,5403.66,Insured A-10,AG005,UW103,3
KM-POL-000011,WC,Expired,2021-03-03,2022-03-03,PA,7380,9160.91,Insured A-11,AG015,UW103,0
KM-POL-000012,GL,Cancelled,2021-07-11,2022-07-11,PA,58483,4958.32,Insured A-12,AG012,UW101,2
KM-POL-000013,GL,In Force,2022-03-24,2023-03-24,MD,58483,3421.99,Insured A-13,AG002,UW102,1
KM-POL-000014,WC,In Force,2022-04-22,2023-04-22,PA,8017,16100.36,Insured A-14,AG004,UW102,3
KM-POL-000015,WC,In Force,2023-11-01,2024-10-31,DE,7380,3450.57,Insured A-15,AG015,UW104,0
KM-POL-000016,WC,Expired,2021-02-24,2022-02-24,NJ,9015,18413.19,Insured A-16,AG002,UW102,4
KM-POL-000017,WC,In Force,2022-02-12,2023-02-12,NJ,7380,4439.19,Insured A-17,AG015,UW104,0
KM-POL-000018,CA,In Force,2023-05-10,2024-05-09,OH,7219,3129.22,Insured A-18,AG004,UW101,1
KM-POL-000019,WC,Expired,2022-03-28,2023-03-28,PA,9015,3061.23,Insured A-19,AG003,UW102,5
KM-POL-000020,WC,Expired,2023-07-09,2024-07-08,NY,5183,6626.81,Insured A-20,AG015,UW102,2
KM-POL-000021,CA,In Force,2022-07-24,2023-07-24,MD,7230,8823.62,Insured A-21,AG005,UW104,1
KM-POL-000022,WC,In Force,2021-01-14,2022-01-14,DE,8810,14950.54,Insured A-22,AG001,UW101,4
KM-POL-000023,WC,Expired,2021-11-23,2022-11-23,MD,9015,21649.5,Insured A-23,AG005,UW102,1
KM-POL-000024,WC,In Force,2023-05-16,2024-05-15,PA,8810,15028.66,Insured A-24,AG004,UW102,0
KM-POL-000025,CA,In Force,2022-11-28,2023-11-28,NJ,7219,2534.62,Insured A-25,AG015,UW102,5
KM-POL-000026,CA,Expired,2022-07-24,2023-07-24,PA,7220,4030.02,Insured A-26,AG001,UW101,1
KM-POL-000027,WC,In Force,2021-11-15,2022-11-15,NY,9015,5302.01,Insured A-27,AG005,UW101,4
KM-POL-000028,CA,Expired,2022-03-17,2023-03-17,MD,7220,10919.93,Insured A-28,AG001,UW102,0
KM-POL-000029,CA,Cancelled,2022-11-21,2023-11-21,PA,7220,2396.89,Insured A-29,AG004,UW104,3
KM-POL-000030,WC,In Force,2021-07-29,2022-07-29,NY,5191,20230.73,Insured A-30,AG003,UW104,2
KM-POL-000031,CA,In Force,2021-07-09,2022-07-09,PA,7210,8398.2,Insured A-31,AG003,UW102,5
KM-POL-000032,WC,Expired,2023-02-18,2024-02-18,DE,8810,42774.45,Insured A-32,AG015,UW101,2
KM-POL-000033,WC,Expired,2021-07-18,2022-07-18,NJ,8017,7131.31,Insured A-33,AG005,UW102,0
KM-POL-000034,GL,Cancelled,2023-01-06,2024-01-06,MD,58483,10923.0,Insured A-34,AG002,UW101,2
KM-POL-000035,GL,Expired,2022-12-06,2023-12-06,NY,91580,32766.32,Insured A-35,AG004,UW102,0
KM-POL-000036,GL,In Force,2022-06-26,2023-06-26,NJ,41677,4305.51,Insured A-36,AG005,UW101,3
KM-POL-000037,WC,Expired,2021-03-30,2022-03-30,PA,9015,2898.56,Insured A-37,AG005,UW103,4
KM-POL-000038,WC,In Force,2023-07-30,2024-07-29,PA,5183,2199.51,Insured A-38,AG003,UW104,1
KM-POL-000039,CA,In Force,2021-09-13,2022-09-13,PA,7219,7537.36,Insured A-39,AG015,UW103,3
KM-POL-000040,WC,In Force,2023-02-15,2024-02-15,PA,5183,2194.0,Insured A-40,AG001,UW104,0
KM-POL-000041,WC,In Force,2021-06-11,2022-06-11,OH,8742,7347.72,Insured A-41,AG004,UW101,1
KM-POL-000042,CA,Expired,2022-08-24,2023-08-24,DE,7210,6389.35,Insured A-42,AG001,UW103,1
KM-POL-000043,WC,In Force,2023-01-11,2024-01-11,DE,5183,11477.46,Insured A-43,AG012,UW104,2
KM-POL-000044,GL,In Force,2022-01-29,2023-01-29,PA,41677,8935.71,Insured A-44,AG012,UW102,0
KM-POL-000045,WC,In Force,2021-05-23,2022-05-23,OH,9015,11823.35,Insured A-45,AG004,UW101,3
KM-POL-000046,CA,Expired,2021-04-04,2022-04-04,NY,7210,10586.34,Insured A-46,AG015,UW101,0
KM-POL-000047,WC,Expired,2022-04-12,2023-04-12,PA,8017,4619.99,Insured A-47,AG002,UW102,2
KM-POL-000048,CA,In Force,2022-08-16,2023-08-16,NY,7230,3274.12,Insured A-48,AG012,UW102,0
KM-POL-000049,CA,In Force,2021-06-13,2022-06-13,DE,7219,3091.48,Insured A-49,AG003,UW104,3
KM-POL-000050,WC,In Force,2022-04-22,2023-04-22,PA,5183,19228.59,Insured A-50,AG002,UW101,0
KM-POL-000051,GL,Cancelled,2021-07-26,2022-07-26,NJ,97047,12460.0,Insured A-51,AG005,UW104,2
KM-POL-000052,CA,Expired,2023-02-18,2024-02-18,NJ,7219,6442.91,Insured A-52,AG012,UW102,1
KM-POL-000053,GL,In Force,2022-07-24,2023-07-24,PA,58483,15190.8,Insured A-53,AG003,UW101,3
KM-POL-000054,GL,Expired,2023-07-18,2024-07-17,MD,41677,2908.44,Insured A-54,AG005,UW102,1
KM-POL-000055,CA,In Force,2023-01-18,2024-01-18,OH,7219,13364.2,Insured A-55,AG002,UW104,3
KM-POL-000056,GL,Expired,2021-11-30,2022-11-30,NY,91580,19269.27,Insured A-56,AG004,UW104,1
KM-POL-000057,WC,In Force,2023-01-29,2024-01-29,NJ,5191,17827.5,Insured A-57,AG005,UW104,3
KM-POL-000058,WC,In Force,2022-12-29,2023-12-29,NJ,8017,41168.93,Insured A-58,AG001,UW101,0
