TransactionID,ClaimNumber,TransactionType,CostType,Amount,TransactionDate,CheckNumber
KM-TXN-000001,KM-CLM-000403,Reserve Change,Expense,4884.51,2024-05-19,
KM-TXN-000002,KM-CLM-000393,Reserve Change,Medical,-9629.86,2023-05-16,
KM-TXN-000003,KM-CLM-000300,Reserve,Legal,2838.6,2024-08-15,
KM-TXN-000004,KM-CLM-000351,Reserve Change,Legal,3193.79,2022-12-30,
KM-TXN-000005,KM-CLM-000187,Reserve,Medical,961.23,2024-07-04,
KM-TXN-000006,KM-CLM-000347,Payment,Indemnity,2923.17,2022-12-08,CHK-689569
KM-TXN-000007,KM-CLM-000623,Payment,Medical,3174.3,2021-12-20,CHK-909289
KM-TXN-000008,KM-CLM-000409,Payment,Medical,1504.5,2021-09-07,CHK-438891
KM-TXN-000009,KM-CLM-000759,Reserve Change,Expense,1506.24,2022-05-16,
KM-TXN-000010,KM-CLM-000071,Payment,Legal,12763.86,2023-03-14,CHK-374312
KM-TXN-000011,KM-CLM-000327,Payment,Expense,806.87,2023-08-07,CHK-807777
KM-TXN-000012,KM-CLM-000212,Reserve,Indemnity,612.93,2022-06-06,
KM-TXN-000013,KM-CLM-000309,Reserve Change,Legal,-2122.4,2023-05-08,
KM-TXN-000014,KM-CLM-000108,Payment,Indemnity,548.18,2024-05-24,CHK-433046
KM-TXN-000015,KM-CLM-000177,Recovery,Subrogation,-977.53,2024-07-04,
KM-TXN-000016,KM-CLM-000427,Payment,Legal,1046.69,2023-09-03,CHK-531204
KM-TXN-000017,KM-CLM-000740,Payment,Expense,3773.41,2024-02-02,CHK-510389
KM-TXN-000018,KM-CLM-000531,Payment,Legal,2564.25,2022-02-17,CHK-948330
KM-TXN-000019,KM-CLM-000418,Reserve,Medical,1758.45,2022-11-13,
KM-TXN-000020,KM-CLM-000248,Payment,Legal,597.58,2021-06-20,CHK-563419
KM-TXN-000021,KM-CLM-000209,Reserve Change,Medical,-6965.28,2024-04-17,
KM-TXN-000022,KM-CLM-000216,Reserve Change,Medical,5257.0,2022-04-15,
KM-TXN-000023,KM-CLM-000713,Reserve,Medical,10793.28,2022-02-14,
KM-TXN-000024,KM-CLM-000438,Reserve,Legal,2653.92,2022-03-20,
KM-TXN-000025,KM-CLM-000769,Payment,Expense,3742.49,2023-07-16,CHK-545853
KM-TXN-000026,KM-CLM-000618,Reserve Change,Legal,-5521.82,2024-08-06,
KM-TXN-000027,KM-CLM-000311,Payment,Indemnity,632.81,2022-11-30,CHK-518045
KM-TXN-000028,KM-CLM-000783,Recovery,Salvage,-250.95,2021-09-17,
KM-TXN-000029,KM-CLM-000383,Reserve Change,Expense,1383.02,2023-06-29,
