pol_id,line_of_business,status,eff_dt,exp_dt,jurisdiction,class_cd,total_premium,named_insured,producer_code,uw_id,term_number
GLI7739464,WorkersComp,Active,2023-03-29,2024-03-28,Indiana,8017,9111.94,GLI Insured 1,P-100,GLI-UW1,4
GLI8087653,GenLiab,Active,2021-05-18,2022-05-18,Illinois,97047,5665.01,GLI Insured 2,P-200,GLI-UW2,2
GLI1914547,WorkersComp,Active,2021-12-19,2022-12-19,Michigan,7380,2798.09,GLI Insured 3,P-200,GLI-UW2,2
GLI6082733,CommAuto,Expired,2021-09-29,2022-09-29,Illinois,7220,2830.65,GLI Insured 4,P-200,GLI-UW2,1
GLI8130001,WorkersComp,Active,2022-06-22,2023-06-22,Wisconsin,8742,681.42,GLI Insured 5,P-400,GLI-UW1,2
GLI5339410,GenLiab,Non-Renewed,2021-03-13,2022-03-13,Illinois,41677,12882.77,GLI Insured 6,,GLI-UW1,2
GLI2945459,WorkersComp,Active,2023-04-20,2024-04-19,Illinois,5183,8823.28,GLI Insured 7,P-100,GLI-UW1,3
GLI8554276,WorkersComp,Expired,2021-03-08,2022-03-08,Wisconsin,5183,8616.98,GLI Insured 8,P-500,GLI-UW1,4
GLI9423195,CommAuto,Expired,2021-06-28,2022-06-28,Indiana,7230,6943.67,GLI Insured 9,P-100,GLI-UW3,2
GLI7254970,CommAuto,Cancelled,2023-05-03,2024-05-02,Minnesota,7230,7300.37,GLI Insured 10,P-100,GLI-UW2,6
GLI8944805,CommAuto,Active,2021-11-01,2022-11-01,Indiana,7230,3124.95,GLI Insured 11,P-300,GLI-UW2,4
GLI6621432,CommAuto,Non-Renewed,2022-06-03,2023-06-03,Wisconsin,7210,3707.77,GLI Insured 12,,GLI-UW1,2
GLI9976215,WorkersComp,Cancelled,2021-05-12,2022-05-12,Minnesota,8017,33174.0,GLI Insured 13,,,1
GLI7121365,CommAuto,Non-Renewed,2021-07-30,2022-07-30,Wisconsin,7210,2671.24,GLI Insured 14,P-100,GLI-UW3,1
GLI2873547,CommAuto,Cancelled,2021-04-10,2022-04-10,Illinois,7219,11968.78,GLI Insured 15,P-200,GLI-UW3,1
GLI4000429,CommAuto,Cancelled,2023-11-01,2024-10-31,Michigan,7230,3148.78,GLI Insured 16,,GLI-UW1,5
GLI8114632,WorkersComp,Expired,2023-04-30,2024-04-29,Michigan,7380,1454.77,GLI Insured 17,P-100,GLI-UW1,1
GLI9920640,GenLiab,Cancelled,2022-09-30,2023-09-30,Wisconsin,97047,5834.92,GLI Insured 18,P-400,GLI-UW3,1
GLI7433589,GenLiab,Expired,2023-05-02,2024-05-01,Indiana,41677,4078.79,GLI Insured 19,P-100,GLI-UW1,1
GLI2342330,GenLiab,Expired,2023-09-07,2024-09-06,Illinois,58483,1847.13,GLI Insured 20,P-400,GLI-UW2,1
GLI3523078,WorkersComp,Expired,2022-06-30,2023-06-30,Michigan,9015,7533.31,GLI Insured 21,P-300,GLI-UW1,1
GLI1116714,CommAuto,Non-Renewed,2023-11-30,2024-11-29,Michigan,7220,2864.5,GLI Insured 22,P-300,GLI-UW1,1
GLI6655862,CommAuto,Active,2022-07-26,2023-07-26,Ohio,7220,14938.59,GLI Insured 23,P-500,GLI-UW1,6
GLI5325779,WorkersComp,Cancelled,2023-02-05,2024-02-05,Minnesota,8742,19373.09,GLI Insured 24,P-100,GLI-UW2,1
GLI4315396,CommAuto,Active,2023-09-18,2024-09-17,Indiana,7210,2053.08,GLI Insured 25,P-200,GLI-UW3,1
GLI9638526,CommAuto,Active,2023-11-07,2024-11-06,Wisconsin,7220,2396.63,GLI Insured 26,P-300,GLI-UW1,5
GLI8633454,WorkersComp,Active,2022-01-08,2023-01-08,Indiana,8810,19940.79,GLI Insured 27,P-100,GLI-UW1,3
GLI8296210,WorkersComp,Active,2023-09-17,2024-09-16,Wisconsin,8017,24131.3,GLI Insured 28,P-100,GLI-UW3,1
GLI1814426,WorkersComp,Non-Renewed,2023-03-08,2024-03-07,Minnesota,9015,6004.1,GLI Insured 29,P-100,GLI-UW2,1
GLI8797432,WorkersComp,Active,2022-06-02,2023-06-02,Ohio,9015,5256.28,GLI Insured 30,P-200,GLI-UW3,1
GLI5726375,WorkersComp,Expired,2021-12-21,2022-12-21,Wisconsin,5191,7226.85,GLI Insured 31,,GLI-UW3,3
GLI1668478,WorkersComp,Active,2022-10-09,2023-10-09,Indiana,5183,10519.5,GLI Insured 32,P-300,GLI-UW1,1
GLI3039294,WorkersComp,Non-Renewed,2022-02-21,2023-02-21,Wisconsin,8017,15569.64,GLI Insured 33,P-300,GLI-UW2,3
GLI9214484,GenLiab,Cancelled,2023-05-05,2024-05-04,Illinois,91580,10116.4,GLI Insured 34,P-400,GLI-UW3,3
GLI8721725,GenLiab,Active,2022-08-09,2023-08-09,Indiana,91580,2334.37,GLI Insured 35,P-400,GLI-UW2,1
GLI7158985,CommAuto,Active,2022-01-23,2023-01-23,Wisconsin,7230,3128.17,GLI Insured 36,P-300,GLI-UW1,2
GLI1840094,GenLiab,Active,2023-03-24,2024-03-23,Minnesota,97047,1022.21,GLI Insured 37,P-200,GLI-UW2,6
GLI7195765,WorkersComp,Active,2021-04-12,2022-04-12,Wisconsin,8810,7933.27,GLI Insured 38,P-200,,4
GLI5233341,CommAuto,Active,2023-08-02,2024-08-01,Ohio,7220,1523.1,GLI Insured 39,P-100,,3
GLI8142103,WorkersComp,Non-Renewed,2022-11-05,2023-11-05,Indiana,8742,,GLI Insured 40,P-500,GLI-UW2,2
GLI6661668,GenLiab,Cancelled,2021-12-20,2022-12-20,Ohio,91580,13137.62,GLI Insured 41,P-500,GLI-UW2,2
GLI5968479,WorkersComp,Active,2021-05-27,2022-05-27,Wisconsin,8017,11510.74,GLI Insured 42,P-400,GLI-UW2,2
GLI1394773,WorkersComp,Non-Renewed,2023-09-28,2024-09-27,Michigan,8810,11094.1,GLI Insured 43,P-200,GLI-UW1,4
GLI5483468,WorkersComp,Active,2023-06-19,2024-06-18,Ohio,7380,8119.91,GLI Insured 44,P-300,GLI-UW1,3
