txn_id,claim_id,txn_type,cost_category,txn_amount,txn_dt,check_num
GT-0000001,CLM-910552,PMT,EXP,14130.55,2022-12-12,77840
GT-0000002,CLM-305681,PMT,EXP,685.2,2023-12-22,93967
GT-0000003,CLM-750925,RSV,MED,16411.24,2021-10-26,
GT-0000004,CLM-755569,PMT,IND,1091.24,2021-11-29,18597
GT-0000005,CLM-139623,PMT,AO,84895.78,2024-07-23,69540
GT-0000006,CLM-340961,PMT,AO,504.64,2023-06-03,30884
GT-0000007,CLM-916189,PMT,IND,32087.54,2024-07-31,62705
GT-0000008,CLM-819781,REC,DED,-473.32,2022-02-23,
GT-0000009,CLM-375617,PMT,DCC,3825.65,2024-05-25,29689
GT-0000010,CLM-312123,PMT,AO,1514.1,2022-04-09,79296
GT-0000011,CLM-474276,RSV,AO,50877.02,2021-10-27,
GT-0000012,CLM-126629,PMT,IND,1754.1,2023-03-04,31706
GT-0000013,CLM-155469,RSV_CHG,AO,1450.4,2023-06-03,
GT-0000014,CLM-433713,RSV,DCC,4746.48,2021-12-03,
GT-0000015,CLM-665260,RSV,MED,9953.83,2022-05-05,
GT-0000016,CLM-214404,RSV,MED,912.82,2023-04-06,
GT-0000017,CLM-967800,RSV,EXP,117.22,2022-10-09,
GT-0000018,CLM-667646,RSV_CHG,IND,2074.18,2024-03-02,
GT-0000019,CLM-435666,REC,DED,-5679.06,2022-09-28,
GT-0000020,CLM-697092,RSV,AO,2084.43,2023-10-30,
GT-0000021,CLM-871148,RSV_CHG,AO,3455.51,2021-12-21,
GT-0000022,CLM-684483,RSV,DCC,376.58,2023-07-04,
GT-0000023,CLM-621379,PMT,EXP,718.28,2024-07-23,88726
GT-0000024,CLM-720478,PMT,MED,1576.28,2024-05-13,64344
GT-0000025,CLM-673283,RSV,MED,3835.53,2022-09-26,
GT-0000026,CLM-655473,PMT,AO,6326.28,2023-09-16,82124
GT-0000027,CLM-578816,RSV,EXP,219.92,2023-11-02,
GT-0000028,CLM-332419,RSV_CHG,MED,-764.92,2022-05-14,
GT-0000029,CLM-658579,RSV,MED,1477.85,2024-01-18,
GT-0000030,CLM-402833,RSV,EXP,936.65,2022-01-09,
GT-0000031,CLM-672653,REC,SALV,-243.64,2022-10-19,
GT-0000032,CLM-977705,RSV_CHG,MED,1226.51,2023-07-16,
GT-0000033,CLM-214404,PMT,EXP,1790.39,2024-06-09,32787
GT-0000034,CLM-753721,PMT,IND,1146.35,2023-10-31,95364
GT-0000035,CLM-628986,RSV,EXP,462.81,2022-12-16,
GT-0000036,CLM-790917,RSV,AO,2625.3,2022-10-03,
GT-0000037,CLM-890930,PMT,MED,6406.38,2023-07-25,48795
GT-0000038,CLM-660130,PMT,MED,174.91,2022-12-09,49209
GT-0000039,CLM-521730,PMT,MED,585.3,2021-12-02,79019
GT-0000040,CLM-436007,RSV_CHG,EXP,-5159.76,2021-08-15,
GT-0000041,CLM-585705,RSV,MED,687.05,2023-06-15,
GT-0000042,CLM-463624,PMT,IND,1080.15,2023-05-21,52762
GT-0000043,CLM-753451,PMT,MED,644.01,2023-12-30,13957
GT-0000044,CLM-456029,RSV,IND,1021.52,2022-02-02,
GT-0000045,CLM-413157,PMT,IND,1517.63,2023-08-22,96574
GT-0000046,CLM-863197,RSV,EXP,327.81,2023-03-21,
GT-0000047,CLM-402024,RSV,AO,98095.06,2024-02-09,
GT-0000048,CLM-907498,RSV_CHG,DCC,-2550.83,2022-12-18,
GT-0000049,CLM-815484,RSV_CHG,DCC,-1688.34,2022-01-24,
GT-0000050,CLM-569226,PMT,IND,947.92,2023-06-16,12521
GT-0000051,CLM-974604,PMT,EXP,419.82,2023-09-30,69984
GT-0000052,CLM-940561,PMT,EXP,7532.88,2023-09-09,29307
GT-0000053,CLM-717203,RSV,EXP,6074.55,2022-12-04,
GT-0000054,CLM-779865,PMT,DCC,56.92,2024-04-25,77677
GT-0000055,CLM-332419,RSV,DCC,555.11,2022-08-16,
GT-0000056,CLM-868071,PMT,AO,640.12,2023-08-02,76537
GT-0000057,CLM-814984,RSV_CHG,EXP,2852.84,2023-07-12,
GT-0000058,CLM-714812,RSV_CHG,DCC,5358.98,2022-03-25,
GT-0000059,CLM-191369,RSV_CHG,EXP,-613.83,2022-02-24,
GT-0000060,CLM-456029,RSV,DCC,51179.61,2023-09-17,
GT-0000061,CLM-764743,PMT,DCC,4047.03,2023-03-18,96477
GT-0000062,CLM-333067,RSV_CHG,AO,9646.29,2022-12-18,
GT-0000063,CLM-522218,RSV_CHG,EXP,-2519.1,2023-10-14,
GT-0000064,CLM-672653,RSV,EXP,2110.18,2021-10-27,
GT-0000065,CLM-456710,RSV_CHG,MED,961.88,2022-05-02,
GT-0000066,CLM-295833,REC,SALV,-241.72,2024-06-06,
GT-0000067,CLM-886716,RSV,MED,14068.07,2022-12-05,
GT-0000068,CLM-777192,PMT,DCC,296.8,2024-03-23,85950
GT-0000069,CLM-672713,RSV,EXP,376.95,2024-04-22,
GT-0000070,CLM-227154,REC,DED,-512.11,2022-08-08,
GT-0000071,CLM-890930,RSV,DCC,42970.94,2024-02-22,
GT-0000072,CLM-829286,PMT,EXP,2806.68,2021-09-27,54417
GT-0000073,CLM-646877,RSV_CHG,DCC,3674.07,2022-06-21,
GT-0000074,CLM-714812,RSV_CHG,DCC,7504.59,2023-12-12,
GT-0000075,CLM-202108,PMT,AO,2597.98,2023-09-14,84048
GT-0000076,CLM-358604,PMT,AO,944.42,2023-11-18,34097
GT-0000077,CLM-285938,PMT,DCC,9826.79,2021-08-10,94093
GT-0000078,CLM-272252,RSV_CHG,IND,4347.24,2023-07-04,
GT-0000079,CLM-948708,RSV_CHG,DCC,-3301.43,2022-12-24,
GT-0000080,CLM-923769,RSV_CHG,MED,-3822.72,2023-03-28,
GT-0000081,CLM-340027,RSV,EXP,3698.04,2022-07-29,
GT-0000082,CLM-970641,PMT,MED,4763.02,2024-07-03,94783
GT-0000083,CLM-735015,RSV_CHG,IND,-4376.12,2022-01-16,
GT-0000084,CLM-992351,RSV_CHG,MED,605.34,2023-09-13,
GT-0000085,CLM-916189,PMT,EXP,4805.17,2023-01-05,71201
GT-0000086,CLM-507976,REC,SALV,-415.14,2023-01-08,
GT-0000087,CLM-280205,RSV,EXP,6316.35,2021-12-19,
GT-0000088,CLM-482820,PMT,IND,2798.82,2023-11-23,92751
GT-0000089,CLM-207309,PMT,AO,3939.73,2022-01-04,46124
GT-0000090,CLM-482820,RSV_CHG,IND,358.94,2021-10-11,
GT-0000091,CLM-230889,RSV_CHG,AO,-560.29,2022-03-03,
GT-0000092,CLM-992204,RSV,EXP,20467.03,2024-03-03,
GT-0000093,CLM-966473,PMT,AO,52.71,2023-05-25,21641
GT-0000094,CLM-668178,RSV,EXP,15946.57,2022-09-24,
GT-0000095,CLM-374419,RSV,AO,10232.9,2023-06-17,
GT-0000096,CLM-853443,RSV,IND,46049.44,2024-08-01,
GT-0000097,CLM-657989,RSV_CHG,EXP,2587.28,2023-04-06,
GT-0000098,CLM-906467,RSV_CHG,MED,-4667.39,2023-11-17,
GT-0000099,CLM-791593,PMT,DCC,1691.25,2023-01-26,19864
GT-0000100,CLM-436007,PMT,AO,414.28,2021-10-27,64912
GT-0000101,CLM-196118,RSV_CHG,MED,5158.99,2023-09-04,
GT-0000102,CLM-328855,PMT,EXP,60.36,2022-04-12,80757
GT-0000103,CLM-487167,REC,SALV,-93.52,2021-10-16,
GT-0000104,CLM-299635,RSV_CHG,AO,-5402.41,2022-08-22,
GT-0000105,CLM-972415,PMT,DCC,178.34,2021-08-03,10286
GT-0000106,CLM-817718,RSV_CHG,DCC,-1462.63,2022-05-05,
GT-0000107,CLM-805703,PMT,EXP,858.6,2024-05-01,65441
GT-0000108,CLM-220570,PMT,DCC,4348.54,2022-10-13,87638
GT-0000109,CLM-163063,RSV,MED,189.54,2021-08-17,
GT-0000110,CLM-149167,RSV_CHG,IND,-2412.45,2023-01-23,
GT-0000111,CLM-127491,RSV,MED,6106.36,2022-05-20,
GT-0000112,CLM-960498,RSV_CHG,IND,-4191.64,2024-04-23,
GT-0000113,CLM-719323,RSV_CHG,DCC,-7436.5,2023-12-08,
GT-0000114,CLM-521730,RSV_CHG,EXP,3176.58,2022-10-02,
GT-0000115,CLM-660130,PMT,MED,3103.06,2023-12-13,99839
GT-0000116,CLM-745485,PMT,MED,93.81,2022-05-03,24723
GT-0000117,CLM-882733,RSV_CHG,EXP,-1930.37,2024-06-08,
GT-0000118,CLM-433191,RSV_CHG,AO,-2763.7,2022-02-26,
GT-0000119,CLM-460029,RSV_CHG,IND,8172.72,2023-01-22,
GT-0000120,CLM-276076,RSV,EXP,195.84,2023-01-13,
GT-0000121,CLM-478521,PMT,MED,824.72,2023-02-06,88622
GT-0000122,CLM-739509,RSV_CHG,DCC,3420.19,2024-02-15,
GT-0000123,CLM-716899,REC,SUBRO,-477.41,2022-03-26,
GT-0000124,CLM-637196,RSV,EXP,22311.77,2024-07-19,
GT-0000125,CLM-930782,PMT,IND,112.43,2022-11-14,60446
GT-0000126,CLM-993891,RSV,EXP,511.89,2023-05-12,
